Timestamp,Vehicle Count,Congestion Level
2025-04-04 17:18:36,26,High
2025-04-04 17:18:36,27,High
2025-04-04 17:18:37,27,High
2025-04-04 17:18:41,26,High
2025-04-04 17:18:42,26,High
2025-04-04 17:18:49,26,High
2025-04-04 17:18:49,26,High
2025-04-04 17:18:49,27,High
2025-04-04 17:18:50,29,High
2025-04-04 17:18:50,26,High
2025-04-04 17:18:51,26,High
2025-04-04 17:18:51,26,High
2025-04-04 17:18:51,26,High
2025-04-04 17:18:59,26,High
2025-04-04 17:19:01,26,High
2025-04-04 17:19:01,26,High
2025-04-04 17:19:19,26,High
2025-04-04 17:19:19,26,High
2025-04-04 17:19:19,28,High
2025-04-04 17:19:19,26,High
2025-04-04 17:19:20,27,High
2025-04-04 17:19:20,26,High
2025-04-04 17:19:28,28,High
2025-04-04 17:19:28,27,High
2025-04-04 17:19:29,26,High
2025-04-04 17:19:29,26,High
2025-04-04 17:19:29,27,High
2025-04-04 17:19:29,28,High
2025-04-04 17:19:30,27,High
2025-04-04 17:19:30,28,High
2025-04-04 17:19:30,28,High
2025-04-04 17:19:30,28,High
2025-04-04 17:19:30,26,High
2025-04-04 17:19:30,26,High
2025-04-04 17:19:31,28,High
2025-04-04 17:19:31,28,High
2025-04-04 17:19:31,26,High
2025-04-04 17:19:31,27,High
2025-04-04 17:19:31,27,High
2025-04-04 17:19:32,27,High
2025-04-04 17:19:32,27,High
2025-04-04 17:19:32,27,High
2025-04-04 17:19:36,26,High
2025-04-04 17:19:36,27,High
2025-04-04 17:19:37,27,High
2025-04-04 17:19:41,27,High
2025-04-04 17:19:42,28,High
2025-04-04 17:19:42,28,High
2025-04-04 17:19:43,27,High
2025-04-04 17:19:43,26,High
2025-04-04 17:19:46,26,High
2025-04-04 17:19:46,27,High
2025-04-04 17:19:47,26,High
2025-04-04 17:19:47,26,High
2025-04-04 17:19:47,27,High
2025-04-04 17:19:47,26,High
2025-04-04 17:19:48,27,High
2025-04-04 17:19:48,26,High
2025-04-04 17:19:59,26,High
2025-04-04 17:20:46,26,High
2025-04-04 17:20:46,26,High
2025-04-04 17:20:51,27,High
2025-04-04 17:20:52,26,High
